,period_open,period_close,long_value,short_value,returns,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,price,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label
2015-05-14 20:00:00+00:00,2015-05-14 13:31:00+00:00,2015-05-14 20:00:00+00:00,64.474,0.0,0.004402363632633133,64.474,1.4680000000000177,0.0,0.0,[],[],0.19250266463947593,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.237}]",0.19250266463947593,63.006,64.474,63.006,64.474,270.451234,270.451234,334.925234,1,0,32.237,0.11641744666666631,0.03548738145890344,0.6609243105257363,0.11837309993270358,0.012397588117407432,0.13347382794414517,0.9421462296770601,1.3809965051967823,-0.06941333232672507,0.19735793577773333,0.0,0.0,846,2015-05
2015-05-15 20:00:00+00:00,2015-05-15 13:31:00+00:00,2015-05-15 20:00:00+00:00,64.386,0.0,-0.0002627452071887193,64.386,-0.08800000000002228,0.0,0.0,[],[],0.1922904428245277,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.193}]",0.1922904428245277,64.474,64.386,64.474,64.386,270.451234,270.451234,334.83723399999997,1,0,32.193,0.11612411333333283,0.03546705744889075,0.6622006796861515,0.1183031437064795,0.012273036164321294,0.13347258834166995,0.9393690686040933,1.376926092653796,-0.06941333232672507,0.19735793577773333,0.0,0.0,847,2015-05
2015-05-18 20:00:00+00:00,2015-05-18 13:31:00+00:00,2015-05-18 20:00:00+00:00,65.096,0.0,0.002120433237123409,65.096,0.7100000000000364,0.0,0.0,[],[],0.19399951304620203,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.548}]",0.19399951304620203,64.386,65.096,64.386,65.096,270.451234,270.451234,335.547234,1,0,32.548,0.11849077999999968,0.03546268106976634,0.6672670038995789,0.11824064671737529,0.012760270108539196,0.1335582474209681,0.9561458957345763,1.4021716052754742,-0.06941333232672507,0.19735793577773333,0.0,0.0,848,2015-05
2015-05-19 20:00:00+00:00,2015-05-19 13:31:00+00:00,2015-05-19 20:00:00+00:00,65.036,0.0,-0.00017881238144845657,65.036,-0.060000000000002274,0.0,0.0,[],[],0.19385536440411918,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.518}]",0.19385536440411918,65.096,65.036,65.096,65.036,270.451234,270.451234,335.487234,1,0,32.518,0.1182907799999997,0.03544217649776409,0.6661942273659782,0.11817294764405481,0.012716605543311665,0.13356212533758852,0.9540746953456513,1.3991381184147385,-0.06941333232672507,0.19735793577773333,0.0,0.0,849,2015-05
2015-05-20 20:00:00+00:00,2015-05-20 13:31:00+00:00,2015-05-20 20:00:00+00:00,65.03,0.0,-1.7884436103621226e-05,65.03,-0.006000000000028649,0.0,0.0,[],[],0.19384094670404128,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.515}]",0.19384094670404128,65.036,65.03,65.036,65.03,270.451234,270.451234,335.481234,1,0,32.515,0.11827077999999958,0.03542139422828777,0.6646437912079277,0.11810638517809081,0.012733792747658734,0.13356026055038397,0.9533616766177133,1.3980952220732057,-0.06941333232672507,0.19735793577773333,0.0,0.0,850,2015-05
2015-05-21 20:00:00+00:00,2015-05-21 13:31:00+00:00,2015-05-21 20:00:00+00:00,65.694,0.0,0.001979246326487605,65.694,0.6640000000000441,0.0,0.0,[],[],0.1954333822266836,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.847}]",0.1954333822266836,65.03,65.694,65.03,65.694,270.451234,270.451234,336.145234,1,0,32.847,0.12048411333333298,0.035414790005743685,0.6685355425743478,0.11804056041588407,0.01320930164517753,0.1336190347792072,0.9689685173293472,1.4215530278033752,-0.06941333232672507,0.19735793577773333,0.0,0.0,851,2015-05
2015-05-22 20:00:00+00:00,2015-05-22 13:31:00+00:00,2015-05-22 20:00:00+00:00,66.27,0.0,0.0017135450446397194,66.27,0.575999999999965,0.0,0.0,[],[],0.19680968501083598,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 33.135}]",0.19680968501083598,65.694,66.27,65.694,66.27,270.451234,270.451234,336.721234,1,0,33.135,0.1224041133333329,0.03540437068812324,0.6648082314065091,0.1179814628430266,0.013815874726718302,0.13349978927076603,0.9824313295103176,1.4417263208009652,-0.06941333232672507,0.19735793577773333,0.0,0.0,852,2015-05
2015-05-26 20:00:00+00:00,2015-05-26 13:31:00+00:00,2015-05-26 20:00:00+00:00,64.81,0.0,-0.004335930890535966,64.81,-1.4599999999999795,0.0,0.0,[],[],0.19331194133825805,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.405}]",0.19331194133825805,66.27,64.81,66.27,64.81,270.451234,270.451234,335.261234,1,0,32.405,0.11753744666666632,0.03546704983749759,0.6476907897827797,0.11806116644779135,0.012803282338269772,0.13419748079043148,0.9434286653344353,1.3811723513057126,-0.06941333232672507,0.19735793577773333,0.0,0.0,853,2015-05
2015-05-27 20:00:00+00:00,2015-05-27 13:31:00+00:00,2015-05-27 20:00:00+00:00,66.02,0.0,0.0036091258913637514,66.02,1.2099999999999795,0.0,0.0,[],[],0.19621291013543227,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 33.01}]",0.19621291013543227,64.81,66.02,64.81,66.02,270.451234,270.451234,336.471234,1,0,33.01,0.12157077999999943,0.035496520847161775,0.6627879661096556,0.11808330400692928,0.013432472526872852,0.13461886434057505,0.9715441843061869,1.424349302869854,-0.06941333232672507,0.19735793577773333,0.0,0.0,854,2015-05
2015-05-28 20:00:00+00:00,2015-05-28 13:31:00+00:00,2015-05-28 20:00:00+00:00,65.89,0.0,-0.00038636289484406117,65.89,-0.12999999999999545,0.0,0.0,[],[],0.19590223659582578,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 32.945}]",0.19590223659582578,66.02,65.89,66.02,65.89,270.451234,270.451234,336.341234,1,0,32.945,0.12113744666666615,0.03547686942116348,0.6606815654706879,0.118018609026265,0.013350491944237097,0.1346296141163783,0.9677355571990339,1.418756802682075,-0.06941333232672507,0.19735793577773333,0.0,0.0,855,2015-05
